Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,69.669998,69.839996,68.830002,69.500000,65.781387,706587
2019-01-03,69.279999,70.300003,68.970001,70.000000,66.254646,871906
2019-01-04,70.279999,70.589996,69.290001,70.000000,66.254646,807140
2019-01-07,70.190002,70.510002,69.480003,70.339996,66.576454,928608
2019-01-08,70.430000,71.529999,70.430000,70.900002,67.106491,975745
2019-01-09,71.089996,71.250000,70.430000,71.169998,67.362038,919814
2019-01-10,70.970001,72.220001,70.959999,71.919998,68.071915,868155
2019-01-11,72.089996,72.940002,71.699997,72.379997,68.507286,704155
2019-01-14,72.349998,72.449997,71.739998,71.980003,68.128708,726203
2019-01-15,72.169998,72.309998,71.559998,71.570000,67.740639,735718
2019-01-16,71.589996,71.730003,71.250000,71.690002,67.854218,806163
2019-01-17,71.820000,72.650002,71.790001,72.370003,68.497826,639182
2019-01-18,72.629997,72.870003,72.070000,72.610001,68.724998,1102313
2019-01-21,72.699997,72.949997,71.809998,72.559998,68.677666,273676
2019-01-22,72.349998,73.180000,72.190002,73.019997,69.113060,860064
2019-01-23,73.059998,73.650002,72.400002,72.610001,68.724998,1122679
2019-01-24,71.769997,71.879997,69.839996,70.940002,67.144348,2020381
2019-01-25,71.370003,71.370003,69.370003,69.690002,65.961227,1051629
2019-01-28,69.599998,71.230003,69.510002,70.739998,66.955048,1112513
2019-01-29,70.940002,71.180000,70.349998,70.769997,66.983444,1260792
2019-01-30,70.680000,70.790001,69.669998,69.860001,66.122131,792364
2019-01-31,69.989998,71.430000,69.820000,71.080002,67.276863,1507145
2019-02-01,71.059998,71.349998,70.760002,71.239998,67.428291,532037
2019-02-04,71.300003,71.720001,71.190002,71.470001,67.645996,660716
2019-02-05,71.820000,72.529999,71.459999,72.150002,68.289619,617729
2019-02-06,71.940002,72.400002,70.970001,71.370003,67.551353,683883
2019-02-07,71.419998,72.120003,71.290001,71.800003,67.958336,626521
2019-02-08,71.699997,72.029999,71.300003,71.940002,68.090843,412928
2019-02-11,72.080002,72.419998,70.660004,71.019997,67.220055,660838
2019-02-12,71.089996,71.790001,70.720001,71.639999,67.806892,713511
2019-02-13,71.889999,71.910004,71.139999,71.269997,67.456680,516886
2019-02-14,71.480003,72.860001,71.300003,72.699997,68.810173,1011877
2019-02-15,72.849998,72.919998,72.360001,72.589996,68.706062,889015
2019-02-19,72.690002,72.849998,72.199997,72.550003,68.668205,745259
2019-02-20,72.580002,72.830002,72.339996,72.639999,68.753387,524771
2019-02-21,72.750000,73.430000,72.470001,73.000000,69.094131,942420
2019-02-22,73.080002,73.559998,72.830002,73.209999,69.292877,742437
2019-02-25,73.279999,73.529999,72.379997,73.070000,69.160378,733183
2019-02-26,73.180000,73.820000,72.599998,72.849998,68.952148,727320
2019-02-27,72.709999,72.900002,72.389999,72.879997,68.980537,546923
2019-02-28,72.760002,73.589996,72.699997,72.709999,68.819641,1035771
2019-03-01,72.699997,72.699997,68.750000,70.180000,66.425018,2648869
2019-03-04,70.510002,70.699997,68.379997,69.769997,66.036957,2821890
2019-03-05,69.760002,70.599998,69.620003,69.730003,65.999084,2024908
2019-03-06,69.849998,70.709999,69.440002,70.680000,66.898247,1966389
2019-03-07,70.720001,71.915001,70.550003,70.680000,66.898247,1800261
2019-03-08,70.690002,71.260002,70.440002,70.940002,67.144348,1239797
2019-03-11,70.589996,71.709999,70.589996,71.589996,68.240540,1365953
2019-03-12,71.660004,71.830002,71.059998,71.639999,68.288200,844483
2019-03-13,71.519997,71.889999,71.279999,71.589996,68.240540,963073
2019-03-14,71.639999,72.449997,71.570000,72.389999,69.003113,900470
2019-03-15,72.889999,73.160004,72.349998,72.480003,69.088913,2854273
2019-03-18,72.400002,72.889999,72.230003,72.849998,69.441589,531853
2019-03-19,72.730003,72.730003,71.790001,71.970001,68.602768,1164898
2019-03-20,71.919998,72.860001,71.809998,72.349998,68.964981,904936
2019-03-21,72.160004,72.680000,72.040001,72.230003,68.850609,784119
2019-03-22,72.300003,72.879997,72.070000,72.699997,69.298599,1417739
2019-03-25,72.589996,72.800003,71.360001,71.389999,68.049904,1330282
2019-03-26,71.059998,71.970001,70.750000,71.510002,68.164276,1201321
2019-03-27,71.639999,72.050003,71.419998,71.919998,68.555107,848324
2019-03-28,72.059998,72.629997,71.910004,72.050003,68.679031,617450
2019-03-29,72.120003,72.400002,71.680000,71.870003,68.507439,1254526
2019-04-01,72.190002,72.269997,71.290001,71.459999,68.116623,969131
2019-04-02,71.430000,72.239998,71.260002,72.180000,68.802940,921566
2019-04-03,72.300003,72.860001,71.949997,72.489998,69.098427,944748
2019-04-04,72.540001,72.889999,71.900002,72.099998,68.726677,856092
2019-04-05,72.250000,72.250000,71.385002,71.889999,68.526512,549269
2019-04-08,71.529999,72.389999,71.400002,72.370003,68.984039,460388
2019-04-09,72.050003,72.449997,71.720001,71.830002,68.469315,579490
2019-04-10,71.940002,72.040001,71.519997,71.970001,68.602768,608120
2019-04-11,71.900002,72.050003,71.430000,71.459999,68.116623,685056
2019-04-12,71.300003,71.360001,70.320000,71.089996,67.763931,875211
2019-04-15,70.919998,71.720001,70.919998,71.440002,68.097557,576460
2019-04-16,71.570000,71.739998,71.139999,71.190002,67.859261,534922
2019-04-17,71.260002,71.260002,70.220001,70.940002,67.620956,934797
2019-04-18,67.900002,69.089996,67.029999,68.900002,65.676399,2704960
2019-04-22,68.389999,68.629997,66.239998,66.309998,63.207577,1598674
2019-04-23,66.309998,66.309998,65.400002,65.809998,62.730968,2569117
2019-04-24,65.879997,66.620003,65.680000,66.199997,63.102715,1824353
2019-04-25,66.209999,66.830002,65.879997,66.769997,63.646053,1491555
2019-04-26,67.070000,67.910004,66.599998,67.820000,64.646927,2564381
2019-04-29,67.790001,67.989998,67.010002,67.160004,64.017815,992493
2019-04-30,67.230003,67.614998,67.000000,67.449997,64.294235,1230217
2019-05-01,67.930000,68.360001,67.750000,67.930000,64.751778,875832
2019-05-02,68.029999,68.639999,67.690002,68.160004,64.971024,952901
2019-05-03,68.190002,68.669998,67.980003,68.419998,65.218857,944404
2019-05-06,68.220001,68.559998,67.970001,68.440002,65.237915,817707
2019-05-07,68.250000,69.459999,68.129997,69.349998,66.105347,1756102
2019-05-08,69.209999,69.470001,68.989998,69.269997,66.029091,1256064
2019-05-09,69.360001,69.370003,68.269997,68.389999,65.190262,1348883
2019-05-10,68.349998,69.209999,67.709999,69.080002,65.847977,1021558
2019-05-13,68.900002,69.190002,68.230003,69.110001,65.876572,918493
2019-05-14,69.160004,69.400002,68.000000,68.669998,65.457153,983001
